Month,Coarse wool Price,Coarse wool price % Change,Copra Price,Copra price % Change,Cotton Price,Cotton price % Change,Fine wool Price,Fine wool price % Change,Hard log Price,Hard log price % Change,Hard sawnwood Price,Hard sawnwood price % Change,Hide Price,Hide price % change,Plywood Price,Plywood price % Change,Rubber Price,Rubber price % Change,Softlog Price,Softlog price % Change,Soft sawnwood Price,Soft sawnwood price % Change,Wood pulp Price,Wood pulp price % Change
Apr-90,482.34,-,236,-,1.83,-,"1,071.63",-,161.2,-,549.91,-,100,-,312.36,-,0.84,-,120.66,-,218.76,-,829.29,-
May-90,447.26,-7.27%,234,-0.85%,1.89,3.28%,"1,057.18",-1.35%,172.86,7.23%,491.88,-10.55%,99.46,-0.54%,350.12,12.09%,0.85,1.19%,124.28,3.00%,213,-2.63%,842.51,1.59%
Jun-90,440.99,-1.40%,216,-7.69%,1.99,5.29%,898.24,-15.03%,181.67,5.10%,495.39,0.71%,97.9,-1.57%,373.94,6.80%,0.85,0.00%,129.45,4.16%,200,-6.10%,831.35,-1.32%
Jul-90,418.44,-5.11%,205,-5.09%,2.01,1.01%,895.83,-0.27%,187.96,3.46%,485.86,-1.92%,96.75,-1.17%,378.48,1.21%,0.86,1.18%,124.23,-4.03%,210.05,5.03%,798.83,-3.91%
Aug-90,418.44,0.00%,198,-3.41%,1.79,-10.95%,951.22,6.18%,186.13,-0.97%,487.52,0.34%,91.89,-5.02%,364.6,-3.67%,0.88,2.33%,129.7,4.40%,208.3,-0.83%,818.74,2.49%
Sep-90,412.18,-1.50%,196,-1.01%,1.79,0.00%,936.77,-1.52%,185.33,-0.43%,487.75,0.05%,87.66,-4.60%,384.92,5.57%,0.9,2.27%,129.78,0.06%,199.59,-4.18%,811.62,-0.87%
Oct-90,394.64,-4.26%,198,1.02%,1.79,0.00%,901.85,-3.73%,189.76,2.39%,505.24,3.59%,84.59,-3.50%,409.31,6.34%,0.9,0.00%,121.31,-6.53%,206.98,3.70%,807.46,-0.51%
Nov-90,334.5,-15.24%,236,19.19%,1.82,1.68%,888.61,-1.47%,179.02,-5.66%,511.33,1.21%,82.86,-2.05%,375.74,-8.20%,0.9,0.00%,130.5,7.58%,206.64,-0.16%,773.37,-4.22%
Dec-90,328.24,-1.87%,237,0.42%,1.85,1.65%,870.55,-2.03%,171.13,-4.41%,499.2,-2.37%,84.85,2.40%,363.16,-3.35%,0.88,-2.22%,119.35,-8.54%,198.22,-4.07%,741.29,-4.15%
Jan-91,319.47,-2.67%,233,-1.69%,1.85,0.00%,887.41,1.94%,169.19,-1.13%,497.05,-0.43%,81.64,-3.78%,362.26,-0.25%,0.87,-1.14%,126.14,5.69%,186.94,-5.69%,721.85,-2.62%
Feb-91,323.23,1.18%,226,-3.00%,1.87,1.08%,596.02,-32.84%,176.93,4.57%,492.56,-0.90%,75.9,-7.03%,371.7,2.61%,0.85,-2.30%,126.77,0.50%,220.67,18.04%,706.81,-2.08%
Mar-91,328.24,1.55%,236,4.42%,1.86,-0.53%,586.39,-1.62%,162.57,-8.12%,491.12,-0.29%,76.6,0.92%,364.43,-1.96%,0.83,-2.35%,122.87,-3.08%,211.42,-4.19%,655.35,-7.28%
Apr-91,365.82,11.45%,224,-5.08%,1.83,-1.61%,596.02,1.64%,175.59,8.01%,495.44,0.88%,86.45,12.86%,368.34,1.07%,0.82,-1.20%,126.26,2.76%,209.34,-0.98%,616.52,-5.93%
May-91,371.88,1.66%,226,0.89%,1.82,-0.55%,721,20.97%,174.04,-0.88%,509.75,2.89%,88.72,2.63%,365.84,-0.68%,0.82,0.00%,123.5,-2.19%,211.31,0.94%,611.53,-0.81%
Jun-91,340.6,-8.41%,245,8.41%,1.78,-2.20%,777.51,7.84%,200.15,15.00%,480.3,-5.78%,86.7,-2.28%,361.26,-1.25%,0.84,2.44%,121.46,-1.65%,228.71,8.23%,588.47,-3.77%
Jul-91,337.48,-0.92%,303,23.67%,1.7,-4.49%,723.48,-6.95%,207.82,3.83%,480.3,0.00%,83.91,-3.22%,365.92,1.29%,0.82,-2.38%,126.27,3.96%,218.17,-4.61%,581.43,-1.20%
Aug-91,337.22,-0.08%,299,-1.32%,1.62,-4.71%,680.64,-5.92%,210.57,1.32%,553.48,15.24%,77.52,-7.62%,363.6,-0.63%,0.82,0.00%,125.48,-0.63%,212.42,-2.64%,572.43,-1.55%
Sep-91,313.96,-6.90%,296,-1.00%,1.55,-4.32%,613.45,-9.87%,210.68,0.05%,582.79,5.30%,74.05,-4.48%,375.24,3.20%,0.81,-1.22%,129.06,2.85%,228.87,7.74%,561.8,-1.86%
Oct-91,308.39,-1.77%,353,19.26%,1.5,-3.23%,558.18,-9.01%,214.44,1.78%,573.05,-1.67%,75.36,1.77%,386.32,2.95%,0.83,2.47%,123.25,-4.50%,218.33,-4.61%,499.91,-11.02%
Nov-91,307.57,-0.27%,385,9.07%,1.4,-6.67%,641.49,14.93%,195.5,-8.83%,573.89,0.15%,75.26,-0.13%,389.42,0.80%,0.81,-2.41%,128.12,3.95%,215.79,-1.16%,517.91,3.60%
Dec-91,295.4,-3.96%,411,6.75%,1.36,-2.86%,652.19,1.67%,200.33,2.47%,567.39,-1.13%,71.29,-5.28%,394.19,1.22%,0.79,-2.47%,128.85,0.57%,232.11,7.56%,527.56,1.86%
Jan-92,297.04,0.56%,488,18.73%,1.31,-3.68%,619.37,-5.03%,202.85,1.26%,577.77,1.83%,70.7,-0.83%,403.71,2.42%,0.8,1.27%,126.49,-1.83%,214.72,-7.49%,517.31,-1.94%
Feb-92,341.89,15.10%,471,-3.48%,1.24,-5.34%,655.83,5.89%,214.04,5.52%,599.19,3.71%,67.84,-4.05%,396,-1.91%,0.81,1.25%,128.77,1.80%,225.15,4.86%,529.73,2.40%
Mar-92,341.18,-0.21%,429,-8.92%,1.22,-1.61%,667.93,1.84%,201.96,-5.64%,602.24,0.51%,69.77,2.84%,380.56,-3.90%,0.83,2.47%,128.57,-0.16%,231.24,2.70%,515.32,-2.72%
Apr-92,352.12,3.21%,425,-0.93%,1.28,4.92%,667.7,-0.03%,199.67,-1.13%,616.38,2.35%,75.95,8.86%,361.72,-4.95%,0.86,3.61%,142.01,10.45%,258.08,11.61%,550.75,6.88%
May-92,367.36,4.33%,413,-2.82%,1.34,4.69%,663.07,-0.69%,200.75,0.54%,628.68,2.00%,80,5.33%,338.52,-6.41%,0.87,1.16%,142.98,0.68%,233.16,-9.66%,551.77,0.19%
Jun-92,364.88,-0.68%,390,-5.57%,1.41,5.22%,633.89,-4.40%,205.11,2.17%,610.79,-2.85%,76.77,-4.04%,346.98,2.50%,0.88,1.15%,148.84,4.10%,231.97,-0.51%,586.28,6.25%
Jul-92,363.09,-0.49%,352,-9.74%,1.44,2.13%,595.28,-6.09%,201.08,-1.96%,609.62,-0.19%,76.57,-0.26%,350.18,0.92%,0.88,0.00%,155.39,4.40%,236.24,1.84%,621.91,6.08%
Aug-92,351.25,-3.26%,320,-9.09%,1.32,-8.33%,568.94,-4.42%,197.25,-1.90%,607.43,-0.36%,72.87,-4.83%,348.35,-0.52%,0.88,0.00%,183.29,17.95%,227.33,-3.77%,631.01,1.46%
Sep-92,349.29,-0.56%,328,2.50%,1.25,-5.30%,572.72,0.66%,205.53,4.20%,606.17,-0.21%,77.72,6.66%,358.54,2.93%,0.87,-1.14%,167.3,-8.72%,231.18,1.69%,608.83,-3.51%
Oct-92,335.47,-3.96%,320,-2.44%,1.17,-6.40%,535.26,-6.54%,220.2,7.14%,600.25,-0.98%,80.98,4.19%,421.35,17.52%,0.89,2.30%,164.55,-1.64%,243.96,5.53%,579.51,-4.82%
Nov-92,320.1,-4.58%,329,2.81%,1.16,-0.85%,508.04,-5.09%,220.08,-0.05%,623.68,3.90%,80.05,-1.15%,419.79,-0.37%,0.88,-1.12%,174.32,5.94%,244.61,0.27%,543.05,-6.29%
Dec-92,310.7,-2.94%,300,-8.81%,1.2,3.45%,512.94,0.96%,245.58,11.59%,604.35,-3.10%,81.14,1.36%,443.44,5.63%,0.88,0.00%,167.07,-4.16%,238.09,-2.67%,519.94,-4.26%
Jan-93,312.39,0.54%,278,-7.33%,1.26,5.00%,495.22,-3.45%,249.97,1.79%,605.35,0.17%,79.87,-1.57%,511.96,15.45%,0.91,3.41%,195.11,16.78%,225.02,-5.49%,476.54,-8.35%
Feb-93,309.68,-0.87%,279,0.36%,1.33,5.56%,469.37,-5.22%,286.7,14.69%,618.11,2.11%,81.41,1.93%,611.77,19.50%,0.89,-2.20%,194.37,-0.38%,253.74,12.76%,451.15,-5.33%
Mar-93,309.67,0.00%,277,-0.72%,1.36,2.26%,469.37,0.00%,345.34,20.45%,616.81,-0.21%,81.48,0.09%,700.44,14.49%,0.85,-4.49%,210.57,8.33%,263.16,3.71%,435.96,-3.37%
Apr-93,328.92,6.22%,262,-5.42%,1.35,-0.74%,429.69,-8.45%,463.41,34.19%,645.42,4.64%,81.6,0.15%,738.14,5.38%,0.82,-3.53%,221.89,5.38%,284.55,8.13%,451.75,3.62%
May-93,337.01,2.46%,274,4.58%,1.33,-1.48%,468.13,8.95%,520.81,12.39%,776.63,20.33%,80.35,-1.53%,751.81,1.85%,0.81,-1.22%,243.97,9.95%,292.74,2.88%,443.45,-1.84%
Jun-93,327.79,-2.74%,289,5.47%,1.3,-2.26%,470.06,0.41%,493.82,-5.18%,803.57,3.47%,76.95,-4.23%,745.3,-0.87%,0.81,0.00%,259.97,6.56%,275.36,-5.94%,429.37,-3.18%
Jul-93,324.38,-1.04%,303,4.84%,1.27,-2.31%,464.93,-1.09%,467.02,-5.43%,829.75,3.26%,76.52,-0.56%,696.18,-6.59%,0.81,0.00%,240.68,-7.42%,306.99,11.49%,412.55,-3.92%
Aug-93,313.93,-3.22%,306,0.99%,1.22,-3.94%,450.74,-3.05%,450.47,-3.54%,835.6,0.71%,79.32,3.66%,703.88,1.11%,0.82,1.23%,221.22,-8.09%,271.03,-11.71%,405.5,-1.71%
Sep-93,310.83,-0.99%,288,-5.88%,1.22,0.00%,423.51,-6.04%,384,-14.76%,851.1,1.85%,80.43,1.40%,664.86,-5.54%,0.82,0.00%,213.85,-3.33%,280.96,3.66%,409.33,0.94%
Oct-93,316.62,1.86%,275,-4.51%,1.21,-0.82%,454.84,7.40%,378.13,-1.53%,851.33,0.03%,81.76,1.65%,617.28,-7.16%,0.8,-2.44%,210.71,-1.47%,295.72,5.25%,396.33,-3.18%
Nov-93,325.5,2.80%,308,12.00%,1.21,0.00%,497.77,9.44%,333.36,-11.84%,835.17,-1.90%,80.82,-1.15%,602.97,-2.32%,0.81,1.25%,203.69,-3.33%,294.07,-0.56%,384,-3.11%
Dec-93,320.03,-1.68%,406,31.82%,1.31,8.26%,465.45,-6.49%,304.66,-8.61%,830.07,-0.61%,79.84,-1.21%,592.53,-1.73%,0.82,1.23%,199.19,-2.21%,285.96,-2.76%,391,1.82%
Jan-94,320.1,0.02%,403,-0.74%,1.53,16.79%,542.31,16.51%,294.84,-3.22%,774.17,-6.73%,75.07,-5.97%,564.97,-4.65%,0.81,-1.22%,215.5,8.19%,305.16,6.71%,431.3,10.31%
Feb-94,338.13,5.63%,384,-4.71%,1.78,16.34%,606.03,11.75%,303.35,2.89%,758.36,-2.04%,75.08,0.01%,600.26,6.25%,0.85,4.94%,215.5,0.00%,305.16,0.00%,436.5,1.21%
Mar-94,379.25,12.16%,365,-4.95%,1.8,1.12%,609.58,0.59%,310.48,2.35%,770.99,1.67%,78.96,5.17%,617.1,2.81%,0.91,7.06%,207.21,-3.85%,285.63,-6.40%,446.07,2.19%
Apr-94,376.82,-0.64%,377,3.29%,1.85,2.78%,645.79,5.94%,326.24,5.08%,819.89,6.34%,84.75,7.33%,647.05,4.85%,0.95,4.40%,199.56,-3.69%,315.97,10.62%,499.21,11.91%
May-94,398.37,5.72%,408,8.22%,1.9,2.70%,719.63,11.43%,343.5,5.29%,855.1,4.29%,87.33,3.04%,637.21,-1.52%,0.98,3.16%,203.92,2.18%,296.72,-6.09%,510.22,2.21%
Jun-94,394.46,-0.98%,430,5.39%,1.89,-0.53%,779.41,8.31%,344.6,0.32%,876.8,2.54%,88.75,1.63%,629.58,-1.20%,1.05,7.14%,195.31,-4.22%,326.34,9.98%,532.29,4.33%
Jul-94,411.95,4.43%,430,0.00%,1.8,-4.76%,773.5,-0.76%,331.98,-3.66%,875.95,-0.10%,90.45,1.92%,649.7,3.20%,1.25,19.05%,202.82,3.85%,285.23,-12.60%,555.99,4.45%
Aug-94,425.91,3.39%,443,3.02%,1.69,-6.11%,806.82,4.31%,316.74,-4.59%,887.33,1.30%,89.76,-0.76%,630.99,-2.88%,1.26,0.80%,192.88,-4.90%,302.11,5.92%,571.05,2.71%
Sep-94,444.48,4.36%,426,-3.84%,1.66,-1.78%,876.1,8.59%,299.92,-5.31%,861.73,-2.89%,93.77,4.47%,566.5,-10.22%,1.27,0.79%,193.86,0.51%,293.53,-2.84%,607.35,6.36%
Oct-94,433.45,-2.48%,409,-3.99%,1.63,-1.81%,824.64,-5.87%,291.55,-2.79%,806.86,-6.37%,93.67,-0.11%,567.91,0.25%,1.37,7.87%,187.33,-3.37%,285.91,-2.60%,677.68,11.58%
Nov-94,446.07,2.91%,464,13.45%,1.71,4.91%,881.7,6.92%,279.43,-4.16%,792.31,-1.80%,93.04,-0.67%,562.7,-0.92%,1.34,-2.19%,212.3,13.33%,286.32,0.14%,687.57,1.46%
Dec-94,426.04,-4.49%,469,1.08%,1.92,12.28%,878.41,-0.37%,247.96,-11.26%,777.81,-1.83%,91.14,-2.04%,539.99,-4.04%,1.47,9.70%,188.58,-11.17%,306.55,7.07%,674.32,-1.93%
Jan-95,447.06,4.93%,414,-11.73%,2.11,9.90%,904.18,2.93%,248.42,0.19%,793.98,2.08%,90.12,-1.12%,551.01,2.04%,1.64,11.56%,211.77,12.30%,281.66,-8.12%,690.45,2.39%
Feb-95,467.94,4.67%,412,-0.48%,2.23,5.69%,892.34,-1.31%,251.8,1.36%,753.47,-5.10%,91.42,1.44%,599.11,8.73%,1.77,7.93%,211.56,-0.10%,294.47,4.55%,731.14,5.89%
Mar-95,516.73,10.43%,412,0.00%,2.44,9.42%,887.13,-0.58%,283.1,12.43%,714.2,-5.21%,97.95,7.14%,656.48,9.58%,1.8,1.69%,226.36,7.00%,299.17,1.60%,787.17,7.66%
Apr-95,520.27,0.69%,413,0.24%,2.51,2.87%,867.85,-2.17%,300.91,6.29%,732.6,2.58%,102.32,4.46%,665.11,1.31%,1.84,2.22%,198.82,-12.17%,293.74,-1.82%,813.03,3.29%
May-95,516.49,-0.73%,410,-0.73%,2.53,0.80%,839.28,-3.29%,285.43,-5.14%,750.78,2.48%,99.61,-2.65%,635.41,-4.47%,1.72,-6.52%,204.31,2.76%,294.21,0.16%,807.5,-0.68%
Jun-95,519.41,0.57%,425,3.66%,2,-20.95%,826.06,-1.58%,274.22,-3.93%,759.1,1.11%,92.43,-7.21%,627,-1.32%,1.54,-10.47%,191.87,-6.09%,316.87,7.70%,884.45,9.53%
Jul-95,537.66,3.51%,448,5.41%,1.93,-3.50%,751.11,-9.07%,259.57,-5.34%,752.33,-0.89%,85.71,-7.27%,584.72,-6.74%,1.33,-13.64%,169.01,-11.91%,318.01,0.36%,910.54,2.95%
Aug-95,547.44,1.82%,458,2.23%,1.88,-2.59%,789.25,5.08%,235.66,-9.21%,741.7,-1.41%,82.46,-3.79%,560.56,-4.13%,1.3,-2.26%,173,2.36%,305.36,-3.98%,896.62,-1.53%
Sep-95,507.04,-7.38%,450,-1.75%,2.01,6.91%,732.98,-7.13%,221.73,-5.91%,728.71,-1.75%,82.43,-0.04%,527.43,-5.91%,1.35,3.85%,192.87,11.49%,300.18,-1.70%,892.57,-0.45%
Oct-95,495.99,-2.18%,464,3.11%,2.01,0.00%,622.07,-15.13%,233.86,5.47%,723.5,-0.71%,82.2,-0.28%,526.55,-0.17%,1.41,4.44%,176.04,-8.73%,274.59,-8.52%,966.49,8.28%
Nov-95,436.58,-11.98%,488,5.17%,1.97,-1.99%,600.95,-3.40%,230.96,-1.24%,716.06,-1.03%,77.96,-5.16%,539.65,2.49%,1.61,14.18%,186.45,5.91%,322.97,17.62%,955.88,-1.10%
Dec-95,453.11,3.79%,468,-4.10%,1.94,-1.52%,590.53,-1.73%,241.78,4.68%,715.85,-0.03%,73.05,-6.30%,540.2,0.10%,1.64,1.86%,184.01,-1.31%,306.16,-5.20%,905.6,-5.26%
Jan-96,456.77,0.81%,456,-2.56%,1.9,-2.06%,584.39,-1.04%,234.29,-3.10%,719.36,0.49%,73.56,0.70%,529.12,-2.05%,1.55,-5.49%,219.61,19.35%,297.69,-2.77%,832.32,-8.09%
Feb-96,450.38,-1.40%,475,4.17%,1.87,-1.58%,525.31,-10.11%,246.43,5.18%,713.66,-0.79%,75.13,2.13%,548.59,3.68%,1.56,0.65%,195.34,-11.05%,290.36,-2.46%,652.75,-21.57%
Mar-96,439.18,-2.49%,461,-2.95%,1.83,-2.14%,573.83,9.24%,253.01,2.67%,728.68,2.10%,77.99,3.81%,529.22,-3.53%,1.48,-5.13%,215.41,10.27%,299.45,3.13%,551.13,-15.57%
Apr-96,416.56,-5.15%,479,3.90%,1.83,0.00%,597.67,4.15%,252.48,-0.21%,751.38,3.12%,84.66,8.55%,521.11,-1.53%,1.46,-1.35%,152.68,-29.12%,307.24,2.60%,497.51,-9.73%
May-96,440.06,5.64%,503,5.01%,1.83,0.00%,743.54,24.41%,261.65,3.63%,753.11,0.23%,87.56,3.43%,535.48,2.76%,1.48,1.37%,203.38,33.21%,296.21,-3.59%,494.98,-0.51%
Jun-96,447.61,1.72%,550,9.34%,1.83,0.00%,701.36,-5.67%,255.85,-2.22%,747.91,-0.69%,82.15,-6.18%,523.62,-2.21%,1.47,-0.68%,208.97,2.75%,313.65,5.89%,505.24,2.07%
Jul-96,420.32,-6.10%,534,-2.91%,1.76,-3.83%,671.43,-4.27%,259.69,1.50%,743.97,-0.53%,89.64,9.12%,521.39,-0.43%,1.35,-8.16%,203.98,-2.39%,304.74,-2.84%,539.47,6.77%
Aug-96,417.67,-0.63%,495,-7.30%,1.68,-4.55%,751.65,11.95%,263.48,1.46%,743.43,-0.07%,96.09,7.20%,538.27,3.24%,1.3,-3.70%,213.16,4.50%,311.08,2.08%,544.85,1.00%
Sep-96,404.38,-3.18%,475,-4.04%,1.66,-1.19%,738.33,-1.77%,258.69,-1.82%,755.31,1.60%,98.91,2.93%,537.61,-0.12%,1.3,0.00%,203.12,-4.71%,336.14,8.06%,552.2,1.35%
Oct-96,416.41,2.97%,470,-1.05%,1.66,0.00%,681.61,-7.68%,252.67,-2.33%,753.33,-0.26%,101.51,2.63%,525.09,-2.33%,1.24,-4.62%,226.49,11.51%,316.82,-5.75%,622.27,12.69%
Nov-96,419.48,0.74%,471,0.21%,1.68,1.20%,616.97,-9.48%,253.21,0.21%,753.65,0.04%,89.97,-11.37%,526.22,0.22%,1.27,2.42%,218.14,-3.69%,336.25,6.13%,549.62,-11.68%
Dec-96,417.72,-0.42%,498,5.73%,1.75,4.17%,632.94,2.59%,233.76,-7.68%,726.84,-3.56%,90.69,0.80%,518.62,-1.44%,1.26,-0.79%,188.59,-13.55%,309.34,-8.00%,547.08,-0.46%
Jan-97,408.62,-2.18%,506,1.61%,1.76,0.57%,677.73,7.08%,240.56,2.91%,740.31,1.85%,90.02,-0.74%,499.93,-3.60%,1.23,-2.38%,229.64,21.77%,309.67,0.11%,546.16,-0.17%
Feb-97,442.94,8.40%,496,-1.98%,1.77,0.57%,730.96,7.85%,235.18,-2.24%,753.29,1.75%,93.49,3.85%,487.78,-2.43%,1.22,-0.81%,213.22,-7.15%,314.03,1.41%,529.41,-3.07%
Mar-97,425.82,-3.87%,489,-1.41%,1.78,0.56%,719.66,-1.55%,242.04,2.92%,756.65,0.45%,99.46,6.39%,497.39,1.97%,1.23,0.82%,207.82,-2.53%,298.16,-5.05%,506.75,-4.28%
