Год, Январь, Февраль, Март, Апрель, Май, Июнь, Июль, Август, Сентябрь, Октябрь, Ноябрь, Декабрь, Всего
1913,,0.00,0.00,0.00,-1.02,1.03,1.02,0.00,1.01,0.00,1.00,-0.99,2.04
1914,0.00,-1.00,0.00,-1.01,1.02,0.00,1.01,2.00,0.00,-0.98,0.99,-0.98,1.00
1915,0.00,-0.99,-1.00,1.01,1.00,0.00,0.00,0.00,0.00,0.99,0.98,0.00,1.98
1916,0.97,0.00,0.96,0.95,0.94,0.93,0.00,0.93,1.83,1.80,1.77,0.87,12.62
1917,0.86,2.56,0.00,5.00,1.59,1.56,-1.54,1.56,2.31,1.50,0.00,1.48,18.10
1918,2.19,0.71,-0.71,1.43,2.11,1.38,2.72,1.99,1.95,1.91,1.88,1.23,20.44
1919,0.00,-1.82,1.23,1.83,1.20,0.00,2.96,1.72,0.56,1.69,2.21,2.16,14.55
1920,2.12,1.04,1.03,3.05,1.48,1.46,-0.48,-2.40,-1.48,-0.50,-0.50,-2.02,2.65
1921,-2.06,-3.16,-0.54,-1.09,-2.21,-0.56,0.57,0.00,-1.13,0.00,-0.57,-0.57,-10.82
1922,-2.31,0.00,-1.18,0.00,0.00,0.00,0.60,-1.19,0.00,0.60,0.60,0.60,-2.31
1923,-0.59,0.00,0.00,0.60,0.00,0.59,1.18,-0.58,0.58,0.58,0.00,0.00,2.37
1924,0.00,-0.58,-0.58,-0.58,0.00,0.00,0.59,-0.58,0.59,0.58,0.00,0.58,0.00
1925,0.00,-0.58,0.58,-0.58,0.58,1.16,1.14,0.00,0.00,0.00,1.69,-0.56,3.47
1926,0.00,0.00,-0.56,0.56,-0.56,-0.56,-1.13,-0.57,0.57,0.57,0.57,0.00,-1.12
1927,-1.13,-0.57,-0.57,0.00,0.58,1.15,-1.70,-0.58,0.58,0.58,-0.57,0.00,-2.26
1928,0.00,-1.16,0.00,0.00,0.58,-0.58,0.00,0.00,1.17,-0.58,0.00,-0.58,-1.16
1929,0.00,0.00,-0.58,-0.59,0.59,0.59,1.17,0.00,0.00,0.00,0.00,-0.58,0.58
1930,-0.58,-0.58,-0.59,0.59,-0.59,-0.59,-1.19,-0.60,0.61,-0.60,-0.61,-1.83,-6.40
1931,-1.24,-1.26,-0.64,-0.64,-1.29,-1.31,0.00,0.00,-0.66,-0.67,-1.34,-0.68,-9.32
1932,-2.05,-1.40,-0.71,-0.71,-1.44,-0.73,0.00,-0.74,-0.74,-0.75,-0.75,-0.76,-10.27
1933,-1.53,-1.55,-0.79,0.00,0.00,0.79,3.15,0.76,0.00,0.00,0.00,0.00,0.76
1934,0.00,0.76,0.00,0.00,0.00,0.75,0.00,0.00,1.49,-0.74,0.00,-0.74,1.52
1935,1.49,0.74,0.00,0.73,0.00,-0.72,0.00,0.00,0.00,0.00,0.73,0.00,2.99
1936,0.00,0.00,-0.72,0.00,0.00,0.73,0.72,0.72,0.00,0.00,0.00,0.00,1.45
1937,0.71,0.00,0.71,0.70,0.70,0.00,0.69,0.00,0.69,0.00,-0.68,-0.69,2.86
1938,-1.39,-0.70,0.00,0.71,-0.70,0.00,0.00,0.00,0.00,-0.71,0.00,0.00,-2.78
1939,0.00,-0.71,0.00,-0.72,0.00,0.00,0.00,0.00,2.17,-0.71,0.00,0.00,0.00
1940,-0.71,0.72,0.00,0.00,0.00,0.71,-0.71,0.00,0.00,0.00,0.00,0.71,0.71
1941,0.00,0.00,0.71,0.70,0.70,2.08,0.00,1.36,1.34,1.32,0.65,0.65,9.93
1942,1.29,0.64,1.27,0.63,1.24,0.00,0.61,0.61,0.00,1.21,0.60,0.60,9.03
1943,0.00,0.00,1.78,1.16,0.57,0.00,-0.57,-0.57,0.58,0.00,0.00,0.00,2.96
1944,0.00,0.00,0.00,0.57,0.00,0.57,0.57,0.00,0.00,0.00,0.00,0.56,2.30
1945,0.00,0.00,0.00,0.00,0.56,1.12,0.00,0.00,0.00,0.00,0.00,0.55,2.25
1946,0.00,-0.55,1.10,0.55,0.54,1.08,5.88,2.02,0.99,1.96,2.40,0.94,18.13
1947,0.00,0.00,1.86,0.00,0.00,0.46,0.91,1.35,2.22,0.00,0.43,1.30,8.84
1948,1.28,-0.84,-0.43,1.71,0.42,0.84,1.24,0.41,0.00,-0.41,-0.82,-0.41,2.99
1949,-0.41,-0.83,0.00,0.42,-0.42,0.42,-0.84,0.42,0.42,-0.84,0.42,-0.84,-2.07
1950,-0.42,0.00,0.43,0.00,0.42,0.42,1.26,0.83,0.41,0.82,0.41,1.21,5.93
1951,1.60,1.18,0.39,0.00,0.39,0.00,0.00,0.00,0.77,0.38,0.76,0.38,6.00
1952,0.00,-0.75,0.00,0.38,0.00,0.38,0.75,0.00,0.00,0.00,0.00,0.00,0.75
1953,-0.37,-0.38,0.38,0.00,0.38,0.37,0.00,0.37,0.00,0.37,-0.37,0.00,0.75
1954,0.00,0.00,0.00,-0.37,0.37,0.00,0.00,0.00,-0.37,0.00,0.00,-0.37,-0.74
1955,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.00,0.00,-0.37,0.37
1956,0.00,0.00,0.00,0.37,0.37,0.74,0.74,-0.36,0.37,0.36,0.00,0.36,2.99
1957,0.00,0.36,0.36,0.36,0.36,0.36,0.71,0.00,0.00,0.00,0.35,0.00,2.90
1958,0.70,0.00,0.70,0.35,0.00,0.00,0.35,-0.34,0.00,0.00,0.35,-0.34,1.76
1959,0.35,-0.34,0.00,0.35,0.00,0.34,0.34,0.00,0.34,0.34,0.00,0.00,1.73
1960,-0.34,0.34,0.00,0.34,0.00,0.34,0.00,0.00,0.00,0.68,0.00,0.00,1.36
1961,0.00,0.00,0.00,0.00,0.00,0.00,0.67,-0.33,0.33,0.00,0.00,0.00,0.67
1962,0.00,0.33,0.00,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,1.33
1963,0.00,0.00,0.33,0.00,0.00,0.33,0.33,0.00,0.00,0.33,0.00,0.32,1.64
1964,0.00,0.00,0.00,0.00,0.00,0.32,0.32,-0.32,0.32,0.00,0.32,0.00,0.97
1965,0.00,0.00,0.32,0.32,0.00,0.64,0.00,0.00,0.00,0.32,0.00,0.32,1.92
1966,0.00,0.63,0.31,0.62,0.00,0.31,0.31,0.62,0.00,0.61,0.00,0.00,3.46
1967,0.00,0.00,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,3.04
1968,0.59,0.29,0.29,0.29,0.29,0.58,0.58,0.29,0.29,0.57,0.28,0.28,4.72
1969,0.28,0.56,0.84,0.55,0.28,0.55,0.55,0.54,0.27,0.54,0.54,0.53,6.20
1970,0.27,0.53,0.53,0.79,0.26,0.52,0.52,0.00,0.51,0.51,0.51,0.51,5.57
1971,0.00,0.25,0.25,0.25,0.50,0.74,0.25,0.25,0.00,0.25,0.00,0.49,3.27
1972,0.00,0.49,0.24,0.24,0.24,0.24,0.48,0.24,0.24,0.48,0.24,0.24,3.41
1973,0.24,0.70,0.93,0.69,0.69,0.68,0.23,1.81,0.22,0.88,0.66,0.65,8.71
1974,0.87,1.29,1.27,0.42,1.25,0.82,0.82,1.21,1.20,0.99,0.78,0.78,12.34
1975,0.39,0.77,0.38,0.38,0.57,0.75,1.12,0.18,0.55,0.55,0.73,0.36,6.94
1976,0.18,0.36,0.18,0.36,0.71,0.53,0.53,0.53,0.35,0.52,0.17,0.34,4.86
1977,0.52,1.03,0.68,0.84,0.50,0.66,0.49,0.33,0.33,0.33,0.49,0.32,6.70
1978,0.64,0.64,0.79,0.79,0.94,1.09,0.77,0.46,0.76,0.90,0.45,0.45,9.02
1979,0.89,1.17,1.01,1.15,1.27,1.12,1.11,0.96,1.08,0.80,0.93,1.05,13.29
1980,1.43,1.41,1.52,1.12,0.99,1.10,0.00,0.73,0.84,0.95,0.83,0.94,12.52
1981,0.81,1.03,0.68,0.68,0.79,0.89,1.10,0.76,0.98,0.21,0.32,0.32,8.92
1982,0.32,0.32,-0.11,0.42,0.95,1.25,0.52,0.21,0.20,0.31,-0.20,-0.41,3.83
1983,0.20,0.10,0.00,0.72,0.61,0.30,0.40,0.30,0.50,0.30,0.20,0.10,3.79
1984,0.59,0.49,0.20,0.49,0.29,0.29,0.39,0.38,0.48,0.29,0.00,0.00,3.95
1985,0.19,0.47,0.38,0.47,0.37,0.28,0.19,0.19,0.28,0.37,0.28,0.28,3.80
1986,0.27,-0.27,-0.46,-0.18,0.28,0.55,0.00,0.18,0.46,0.09,0.09,0.09,1.10
1987,0.63,0.36,0.45,0.54,0.35,0.35,0.26,0.53,0.52,0.26,0.09,0.00,4.43
1988,0.26,0.26,0.43,0.52,0.34,0.43,0.42,0.42,0.67,0.33,0.08,0.17,4.42
1989,0.50,0.41,0.58,0.65,0.57,0.24,0.24,0.16,0.32,0.48,0.24,0.16,4.65
1990,1.03,0.47,0.55,0.16,0.23,0.54,0.38,0.92,0.84,0.60,0.22,0.00,6.11
1991,0.60,0.15,0.15,0.15,0.30,0.29,0.15,0.29,0.44,0.15,0.29,0.07,3.06
1992,0.15,0.36,0.51,0.14,0.14,0.36,0.21,0.28,0.28,0.35,0.14,-0.07,2.90
1993,0.49,0.35,0.35,0.28,0.14,0.14,0.00,0.28,0.21,0.41,0.07,0.00,2.75
1994,0.27,0.34,0.34,0.14,0.07,0.34,0.27,0.40,0.27,0.07,0.13,0.00,2.67
1995,0.40,0.40,0.33,0.33,0.20,0.20,0.00,0.26,0.20,0.33,-0.07,-0.07,2.54
1996,0.59,0.32,0.52,0.39,0.19,0.06,0.19,0.19,0.32,0.32,0.19,0.00,3.32
1997,0.32,0.31,0.25,0.13,-0.06,0.12,0.12,0.19,0.25,0.25,-0.06,-0.12,1.70
1998,0.19,0.19,0.19,0.18,0.18,0.12,0.12,0.12,0.12,0.24,0.00,-0.06,1.61
1999,0.24,0.12,0.30,0.73,0.00,0.00,0.30,0.24,0.48,0.18,0.06,0.00,2.68
2000,0.30,0.59,0.82,0.06,0.12,0.52,0.23,0.00,0.52,0.17,0.06,-0.06,3.39
2001,0.63,0.40,0.23,0.40,0.45,0.17,-0.28,0.00,0.45,-0.34,-0.17,-0.39,1.55
2002,0.23,0.40,0.56,0.56,0.00,0.06,0.11,0.33,0.17,0.17,0.00,-0.22,2.38
2003,0.44,0.77,0.60,-0.22,-0.16,0.11,0.11,0.38,0.33,-0.11,-0.27,-0.11,1.88
2004,0.49,0.54,0.64,0.32,0.59,0.32,-0.16,0.05,0.21,0.53,0.05,-0.37,3.26
2005,0.21,0.58,0.78,0.67,-0.10,0.05,0.46,0.51,1.22,0.20,-0.80,-0.40,3.42
2006,0.76,0.20,0.55,0.85,0.50,0.20,0.30,0.20,-0.49,-0.54,-0.15,0.15,2.54
2007,0.31,0.54,0.91,0.65,0.61,0.19,-0.03,-0.18,0.28,0.21,0.59,-0.07,4.08
2008,0.50,0.29,0.87,0.61,0.84,1.01,0.53,-0.40,-0.14,-1.01,-1.92,-1.03,0.09
2009,0.44,0.50,0.24,0.25,0.29,0.86,-0.16,0.22,0.06,0.10,0.07,-0.18,2.72
2010,0.34,0.02,0.41,0.17,0.08,-0.10,0.02,0.14,0.06,0.12,0.04,0.17,1.50
2011,0.48,0.49,0.98,0.64,0.47,-0.11,0.09,0.28,0.15,-0.21,-0.08,-0.25,2.96
2012,0.44,0.44,0.76,0.30,-0.12,-0.15,-0.16,0.56,0.45,-0.04,-0.47,-0.27,1.74
2013,0.30,0.82,0.26,-0.10,0.18,0.24,0.04,0.12,0.12,-0.26,-0.20,-0.01,1.50
2014,0.37,0.37,0.64,0.33,0.35,0.19,-0.04,-0.17,0.08,-0.25,-0.54,-0.57,0.76
2015,-0.47,0.43,0.60,0.20,0.51,0.35,0.01,-0.14,-0.16,-0.04,-0.21,-0.34,0.73
2016,0.17,0.08,0.43,0.47,0.40,0.33,-0.16,0.09,0.24,0.12,-0.16,0.03,2.07
2017,0.58,0.31,0.08,0.30,0.09,0.09,-0.07,0.30,0.53,-0.06,0.00,-0.06,2.11
2018,0.54,0.45,0.23,0.40,0.42,0.16,0.01,0.06,0.12,0.18,-0.33,-0.32,1.91
2019,0.19,0.42,0.56,0.53,0.21,0.02,0.17,-0.01,0.08,0.23,-0.05,-0.09,2.29
2020,0.39,0.27,-0.22,-0.67,0.00,0.55,0.51,0.32,0.14,0.04,-0.06,0.09,1.36
